id,EAP,HPL,MWS
id02310,0.18958007,0.03339667,0.77702326
id24541,0.48040918,0.36052567,0.15906513
id00134,0.015175239,0.98245376,0.0023709808
id27757,0.219192,0.76569057,0.015117479
id04081,0.77649915,0.043709703,0.17979118
id27337,0.37824118,0.56552714,0.056231648
id24265,0.79214585,0.1386396,0.06921458
id25917,0.123088166,0.1978226,0.67908925
id04951,0.76523685,0.04891137,0.18585178
id14549,0.93224025,0.047946338,0.01981339
id22505,0.10905272,0.23650822,0.6544391
id24002,0.0078644445,0.9916114,0.00052414
id18982,0.71387386,0.11047727,0.17564887
id15181,0.35032967,0.3782437,0.27142665
id21888,0.1982229,0.053491972,0.74828506
id12035,0.0354434,0.035376467,0.9291801
id17991,0.21030346,0.053925984,0.7357705
id10707,0.97773004,0.0027801848,0.019489791
id07101,0.22934692,0.5207354,0.24991764
id00345,0.73621356,0.22775623,0.036030166
id05912,0.24691018,0.13928726,0.61380255
id13443,0.94219625,0.02549601,0.03230776
id09248,0.8504181,0.04547339,0.10410856
id17542,0.4732701,0.09668226,0.43004763
id06995,0.05182538,0.0037258961,0.94444877
id25159,0.9736951,0.0183881,0.00791682
id25729,0.2593026,0.721227,0.019470446
id26949,0.9235396,0.045004077,0.031456288
id27191,0.27972108,0.005990156,0.7142888
id07668,0.03954343,0.04306285,0.91739374
id02230,0.4731789,0.13137232,0.39544883
id15553,0.9748635,0.0076557253,0.017480748
id25688,0.07728254,0.91001755,0.012699896
id17545,0.7079838,0.05549034,0.23652591
id13929,0.07150136,0.71845347,0.21004522
id12880,0.23829013,0.5844524,0.17725746
id19282,0.74341154,0.10784825,0.14874026
id14690,0.03037143,0.0019395757,0.9676889
id17975,0.48442078,0.10840678,0.40717244
id08037,0.93220365,0.033795603,0.03400072
id15412,0.2812178,0.010327006,0.70845515
id25032,0.49497157,0.0844309,0.42059752
id27165,0.9077836,0.044257812,0.0479585
id03327,0.32570353,0.562061,0.11223548
id18515,0.84003264,0.09047809,0.069489226
id21003,0.28381208,0.05638867,0.6597993
id23855,0.27380025,0.12984405,0.5963556
id20724,0.82187957,0.019742468,0.15837795
id13303,0.5258609,0.107682616,0.36645648
id16521,0.1270929,0.6142522,0.2586549
id20775,0.8508739,0.11832057,0.030805582
id13029,0.6286723,0.07331828,0.29800946
id14660,0.52685183,0.2780073,0.19514087
id11028,0.021396754,0.0026512519,0.97595197
id14180,0.9444412,0.03999807,0.015560722
id25860,0.73205686,0.23857665,0.02936652
id11910,0.22970633,0.014787465,0.75550616
id08065,0.34482402,0.2087562,0.44641984
id22674,0.32937133,0.05655178,0.6140769
id25018,0.19519232,0.032825258,0.77198243
id10892,0.24010773,0.5463701,0.21352218
id10217,0.3890444,0.5686667,0.042288847
id12996,0.67130756,0.012587688,0.31610474
id18262,0.23473391,0.47217244,0.29309362
id08606,0.035884228,0.9503373,0.013778528
id17233,0.6149699,0.1930543,0.19197579
id00101,0.527047,0.4139663,0.058986705
id12225,0.92347115,0.027616292,0.048912525
id01364,0.16558312,0.79078674,0.043630138
id24973,0.87179923,0.08150362,0.046697214
id25363,0.23510556,0.009404997,0.75548947
id10061,0.34966224,0.04381241,0.60652536
id17673,0.3264887,0.35962352,0.31388775
id13249,0.80616134,0.12149507,0.07234354
id10107,0.06193992,0.07199798,0.8660621
id04403,0.97456,0.009996614,0.015443384
id25728,0.76715064,0.027062986,0.20578644
id16184,0.55866045,0.18581238,0.2555272
id03438,0.047018994,0.001533446,0.9514476
id22923,0.31903297,0.67035085,0.0106162
id08610,0.926666,0.022270897,0.051063105
id25355,0.23447908,0.46996018,0.2955607
id16916,0.6077959,0.32328874,0.06891536
id12793,0.08187293,0.8868161,0.031310976
id11859,0.49178582,0.091189735,0.41702443
id02434,0.7709251,0.16332395,0.06575092
id27703,0.11273111,0.03225191,0.85501695
id25212,0.10575619,0.85573703,0.038506716
id11308,0.09121525,0.13583438,0.7729503
id26094,0.8898775,0.08439573,0.02572682
id22080,0.97216237,0.015002469,0.012835174
id03545,0.95695096,0.034310687,0.008738422
id23725,0.0871081,0.092361435,0.8205305
id12009,0.41958556,0.13251527,0.44789922
id24241,0.44418284,0.18882349,0.36699367
id03596,0.20299979,0.75106615,0.045934062
id10749,0.10489603,0.12926523,0.7658387
id22794,0.055497214,0.015405791,0.929097
id15482,0.30583408,0.09199201,0.6021739
id04833,0.7872579,0.14002816,0.07271387
id00397,0.030542517,0.0017908877,0.9676666
id14691,0.06150468,0.04852063,0.8899747
id05193,0.025105752,0.00085599563,0.9740382
id19541,0.48572153,0.24018618,0.27409226
id22166,0.029231194,0.004956408,0.9658124
id20744,0.23497601,0.055116445,0.7099076
id10392,0.058430128,0.048252854,0.89331704
id00770,0.97273356,0.015641384,0.011625049
id06018,0.10101796,0.8672615,0.03172055
id15678,0.0736406,0.04110013,0.8852593
id08305,0.908249,0.016636802,0.075114205
id08903,0.23228343,0.04980424,0.7179123
id14752,0.097110555,0.675948,0.22694147
id12468,0.129462,0.8602057,0.010332336
id05085,0.2367095,0.6104811,0.15280938
id21993,0.07094297,0.008910034,0.92014694
id15503,0.55725235,0.3755061,0.06724155
id03021,0.028764993,0.7827552,0.18847981
id16123,0.9935748,0.0012186583,0.00520657
id19383,0.7235065,0.07584608,0.20064744
id04186,0.73747844,0.06455792,0.1979636
id17954,0.050424006,0.021489322,0.9280867
id12030,0.6084898,0.0360063,0.3555039
id13020,0.6999486,0.26007372,0.039977666
id25327,0.10635294,0.10008641,0.7935606
id16344,0.2149958,0.08798429,0.6970199
id12303,0.3769265,0.54570997,0.077363536
id15017,0.7121814,0.26744974,0.020368855
id22308,0.48164994,0.06321434,0.45513567
id06536,0.015385475,0.071083255,0.9135313
id19797,0.23748723,0.48229927,0.28021353
id06332,0.7339857,0.17079404,0.09522025
id22941,0.31566387,0.41353554,0.2708006
id13547,0.22150166,0.6321323,0.14636604
id06928,0.09117786,0.018211795,0.89061034
id12521,0.4933702,0.48567185,0.020957908
id25716,0.1516249,0.0025263515,0.8458487
id27116,0.04711236,0.05755603,0.8953316
id19941,0.052652713,0.93242097,0.014926332
id05711,0.04442762,0.008135627,0.94743675
id02097,0.018264579,0.024258314,0.9574771
id03563,0.0625266,0.9238429,0.01363051
id02295,0.55831665,0.27020976,0.17147358
id08179,0.35005534,0.6080621,0.04188254
id05332,0.039831348,0.9025408,0.05762787
id15697,0.3691785,0.19038141,0.44044015
id17026,0.15354154,0.022645967,0.82381254
id04243,0.88673633,0.10939839,0.0038653356
id13175,0.996265,0.0009311666,0.0028037997
id05387,0.71746653,0.07188032,0.21065316
id19989,0.27097905,0.6874404,0.041580576
id25173,0.33197367,0.5490871,0.118939176
id08925,0.0642545,0.8621061,0.07363942
id03034,0.04340639,0.94188493,0.014708666
id13272,0.28117782,0.5865424,0.13227983
id07956,0.2846804,0.0061693466,0.7091502
id02648,0.32120052,0.01471171,0.6640878
id01778,0.37561312,0.024545291,0.5998416
id12846,0.099294834,0.08532375,0.8153814
id19001,0.21197781,0.049973164,0.73804903
id05763,0.6533148,0.113357864,0.23332728
id15590,0.050556798,0.0031141748,0.94632906
id04912,0.6133685,0.18771696,0.19891454
id21201,0.7356472,0.10092956,0.16342321
id13215,0.86268264,0.032595042,0.10472232
id15612,0.114087135,0.75802845,0.12788445
id18501,0.16329652,0.5356151,0.3010884
id07223,0.043882757,0.9007091,0.055408157
id06707,0.33518788,0.25854287,0.40626922
id05238,0.03213161,0.92933655,0.038531803
id00935,0.14047591,0.12489847,0.73462564
id00110,0.089105494,0.08337505,0.8275195
id17476,0.25398535,0.5828382,0.1631765
id15170,0.8527955,0.099895075,0.04730944
id13397,0.11640782,0.7439813,0.13961086
id24283,0.56196517,0.026830064,0.41120476
id15234,0.6984006,0.17550476,0.12609461
id16884,0.347438,0.40417686,0.24838519
id07831,0.53077036,0.08758058,0.38164908
id16038,0.8710895,0.07866314,0.050247274
id03629,0.83140355,0.0654638,0.103132695
id21019,0.5865474,0.050993808,0.36245885
id21835,0.19161007,0.6311138,0.17727612
id04480,0.765778,0.22660774,0.00761421
id20838,0.5519513,0.35317966,0.09486906
id24195,0.30072564,0.14671087,0.5525635
id05448,0.60858244,0.13158737,0.2598302
id15957,0.07879401,0.8265902,0.09461585
id19956,0.010089319,0.0011789036,0.9887318
id15104,0.1608596,0.19435398,0.6447865
id17559,0.6065887,0.34757125,0.045840036
id16839,0.85741806,0.034879573,0.10770232
id14493,0.24258351,0.043615885,0.7138006
id08833,0.20684496,0.048398472,0.7447566
id15723,0.072015174,0.59644616,0.33153865
id02716,0.83179414,0.015679654,0.15252618
id06689,0.29773134,0.6558742,0.046394475
id18837,0.28391844,0.38837373,0.3277078
id04466,0.9811398,0.007464313,0.011395871
id00686,0.8357902,0.039373074,0.12483673
id09010,0.1345181,0.8581165,0.0073653967
id23353,0.984014,0.010305255,0.00568081
id00066,0.58081883,0.11011392,0.30906725
id15724,0.10578858,0.46053207,0.4336794
id23486,0.14911802,0.0121856425,0.83869636
id22258,0.13524246,0.11576094,0.7489966
id02292,0.6994278,0.22339508,0.07717714
id16356,0.21885338,0.049199063,0.73194754
id00235,0.9417222,0.0018277657,0.056449994
id25522,0.020938057,0.01109419,0.96796775
id04204,0.12461603,0.45514944,0.4202346
id22016,0.45119756,0.05445525,0.49434713
id06480,0.17981173,0.43882373,0.38136455
id08718,0.6331575,0.2266351,0.14020742
id05251,0.08207021,0.8601672,0.057762578
id03359,0.8151671,0.07664563,0.10818725
id16117,0.09292302,0.14907782,0.7579991
id17000,0.014187581,0.9816679,0.0041446215
id01730,0.0574959,0.8996544,0.04284964
id00630,0.6393745,0.24775027,0.11287523
id18175,0.14491045,0.0031652385,0.8519243
id00907,0.89146906,0.033251315,0.075279675
id18251,0.04852423,0.88014597,0.07132979
id25861,0.49713928,0.23734905,0.26551166
id00398,0.5760898,0.3344653,0.08944489
