id,EAP,HPL,MWS
id02310,0.26164824,0.21618418,0.5221676
id24541,0.4746407,0.2974663,0.22789297
id00134,0.405662,0.38831836,0.20601964
id27757,0.4474798,0.28107658,0.2714436
id04081,0.5770818,0.20154002,0.2213782
id27337,0.5483677,0.22349176,0.22814058
id24265,0.52125525,0.37110052,0.10764419
id25917,0.23796563,0.33056083,0.43147352
id04951,0.5652141,0.28148055,0.15330532
id14549,0.48912743,0.2434543,0.2674182
id22505,0.15635128,0.74423003,0.09941869
id24002,0.4043511,0.45462024,0.14102867
id18982,0.29554942,0.35541454,0.349036
id15181,0.14133468,0.7929823,0.06568308
id21888,0.48912743,0.2434543,0.2674182
id12035,0.06586008,0.056567118,0.87757283
id17991,0.54088247,0.17075728,0.28836027
id10707,0.82519716,0.08401905,0.090783805
id07101,0.48451477,0.2786211,0.23686413
id00345,0.78134274,0.10420026,0.11445699
id05912,0.6777405,0.17013279,0.15212667
id13443,0.5997095,0.17675696,0.22353351
id09248,0.4671908,0.23253575,0.30027348
id17542,0.3820277,0.3604147,0.25755766
id06995,0.2701985,0.07865291,0.6511486
id25159,0.49318758,0.25782424,0.24898815
id25729,0.4394793,0.44427928,0.116241425
id26949,0.5255199,0.24760923,0.22687086
id27191,0.2189152,0.27860942,0.5024754
id07668,0.37895998,0.12493926,0.49610078
id02230,0.4104425,0.30662662,0.28293088
id15553,0.77654994,0.11059969,0.11285032
id25688,0.39826292,0.3660807,0.23565638
id17545,0.40958288,0.35307586,0.23734123
id13929,0.35520878,0.24974829,0.39504293
id12880,0.45420122,0.27953416,0.26626465
id19282,0.3939565,0.27502552,0.331018
id14690,0.27715904,0.13795088,0.5848901
id17975,0.6588867,0.1907577,0.15035556
id08037,0.4688161,0.14140968,0.38977426
id15412,0.48912743,0.2434543,0.2674182
id25032,0.48912743,0.2434543,0.2674182
id27165,0.46672595,0.24485014,0.28842396
id03327,0.41791517,0.28415334,0.29793146
id18515,0.5912425,0.18119325,0.22756428
id21003,0.48912743,0.2434543,0.2674182
id23855,0.1317679,0.6472126,0.2210195
id20724,0.5513646,0.22822861,0.2204068
id13303,0.58333147,0.18472873,0.23193981
id16521,0.27517202,0.18589267,0.5389353
id20775,0.7416093,0.1286613,0.12972939
id13029,0.52364296,0.22292215,0.2534349
id14660,0.6271572,0.20272009,0.17012274
id11028,0.16350196,0.04701277,0.7894853
id14180,0.7930771,0.096313894,0.11060903
id25860,0.93156785,0.03590578,0.032526355
id11910,0.48912743,0.2434543,0.2674182
id08065,0.4848342,0.25586534,0.2593005
id22674,0.31911233,0.22277594,0.4581117
id25018,0.48510906,0.22865719,0.28623372
id10892,0.36985844,0.51774514,0.11239645
id10217,0.09602589,0.73868567,0.16528845
id12996,0.48912743,0.2434543,0.2674182
id18262,0.47523394,0.1767186,0.34804744
id08606,0.30828616,0.5207454,0.17096849
id17233,0.42153233,0.2942765,0.28419113
id00101,0.41461968,0.2894507,0.2959296
id12225,0.4827927,0.24030131,0.27690598
id01364,0.31113526,0.50388527,0.1849795
id24973,0.66286373,0.14100382,0.19613245
id25363,0.5645501,0.22613081,0.20931911
id10061,0.5044809,0.14252217,0.35299692
id17673,0.29437134,0.49626422,0.20936438
id13249,0.48912743,0.2434543,0.2674182
id10107,0.27898777,0.14185256,0.5791597
