id,EAP,HPL,MWS
id02310,0.23413345,0.15475358,0.611113
id24541,0.6788419,0.19857274,0.1225854
id00134,0.06078085,0.9325869,0.0066322344
id27757,0.13306642,0.7788806,0.08805294
id04081,0.7650833,0.066014536,0.1689022
id27337,0.3963031,0.46619162,0.13750526
id24265,0.929484,0.049254883,0.021261139
id25917,0.15984547,0.15560283,0.6845518
id04951,0.71312886,0.107320994,0.17955019
id14549,0.8466669,0.09254805,0.06078507
id22505,0.05237578,0.3994318,0.54819244
id24002,0.024216862,0.96968734,0.0060957656
id18982,0.68386304,0.11779686,0.19834013
id15181,0.2237602,0.70862216,0.06761768
id21888,0.5440769,0.075843185,0.38007993
id12035,0.076032616,0.01684972,0.90711766
id17991,0.6483589,0.08979042,0.26185068
id10707,0.90789586,0.03798465,0.054119475
id07101,0.18049961,0.549687,0.2698134
id00345,0.733466,0.21540777,0.05112616
id05912,0.5909615,0.2293148,0.17972365
id13443,0.86845773,0.07560753,0.05593473
id09248,0.7212342,0.15342543,0.12534037
id17542,0.29652274,0.33940193,0.36407533
id06995,0.11825888,0.023543902,0.8581972
id25159,0.7705409,0.06825362,0.16120547
id25729,0.41786304,0.5443792,0.03775776
id26949,0.8429069,0.09591074,0.06118238
id27191,0.3350849,0.030916627,0.6339985
id07668,0.095347695,0.06828809,0.83636427
id02230,0.20622604,0.15995182,0.63382214
id15553,0.9661757,0.016162738,0.017661596
id25688,0.039150957,0.9536106,0.007238446
id17545,0.80183864,0.054874703,0.14328669
id13929,0.1182006,0.6562747,0.22552468
id12880,0.20943873,0.53453815,0.25602308
id19282,0.2680849,0.29284742,0.4390677
id14690,0.079279885,0.011092607,0.90962756
id17975,0.54909056,0.1432379,0.30767152
id08037,0.53243476,0.22222589,0.24533936
id15412,0.16623466,0.01132432,0.82244104
id25032,0.3746181,0.4781035,0.14727834
id27165,0.75395656,0.122202,0.123841405
id03327,0.2054645,0.67533666,0.1191988
id18515,0.67878824,0.18527989,0.13593186
id21003,0.4313364,0.09110976,0.4775538
id23855,0.14433497,0.07562541,0.78003967
id20724,0.8059136,0.04753905,0.14654738
id13303,0.7070765,0.059829943,0.23309357
id16521,0.0466332,0.6867183,0.26664853
id20775,0.7699629,0.17401935,0.056017727
id13029,0.5380325,0.1034073,0.35856023
id14660,0.7318235,0.1346126,0.13356386
id11028,0.28163922,0.041501895,0.6768589
id14180,0.6888787,0.20080717,0.1103141
id25860,0.62341356,0.31695536,0.059631046
id11910,0.5146549,0.015889006,0.4694561
id08065,0.32171375,0.3344912,0.34379503
id22674,0.41637728,0.110329136,0.47329363
id25018,0.1768392,0.17370442,0.6494564
id10892,0.19105986,0.6658655,0.14307468
id10217,0.34966972,0.5842428,0.066087484
id12996,0.68729836,0.016790856,0.2959108
id18262,0.3165441,0.3115008,0.37195513
id08606,0.0916002,0.7850852,0.123314574
id17233,0.6752776,0.18060845,0.14411397
id00101,0.41697606,0.32439733,0.25862655
id12225,0.9464703,0.015485206,0.038044475
id01364,0.27065575,0.6679485,0.061395735
id24973,0.6006632,0.1930396,0.2062972
id25363,0.29218388,0.03296252,0.67485356
id10061,0.39845824,0.086951874,0.51458985
id17673,0.3717943,0.44650766,0.18169805
id13249,0.79299086,0.06308485,0.14392424
id10107,0.106584005,0.41604343,0.4773726
id04403,0.8318202,0.10015108,0.06802871
id25728,0.59004545,0.16444464,0.24550994
id16184,0.6238203,0.18375477,0.19242488
